id,fence_id,status,message_time,image
667,25,closed,2025-03-28 19:44:09,/static/images/closed.png
668,23,closed,2025-03-28 19:44:09,/static/images/closed.png
669,7,open,2025-03-28 19:49:48,/static/images/open.png
670,11,open,2025-03-28 19:51:05,/static/images/open.png
671,3,closed,2025-03-28 18:54:04,/static/images/closed.png
672,14,open,2025-03-28 18:55:23,/static/images/open.png
673,12,open,2025-03-28 19:00:13,/static/images/open.png
674,1,closed,2025-03-28 19:00:23,/static/images/closed.png
675,7,open,2025-03-28 19:01:01,/static/images/open.png
676,11,open,2025-03-28 19:10:18,/static/images/open.png
677,13,open,2025-03-28 19:12:40,/static/images/open.png
678,9,closed,2025-03-28 19:13:46,/static/images/closed.png
679,2,open,2025-03-28 19:21:32,/static/images/open.png
680,7,closed,2025-03-28 19:32:17,/static/images/closed.png
681,7,closed,2025-03-28 19:40:35,/static/images/closed.png
682,7,sever_traffic_jam,2025-03-28 19:40:41,/static/images/traffic.png
683,2,closed,2025-03-28 19:42:41,/static/images/closed.png
684,25,closed,2025-03-28 19:44:09,/static/images/closed.png
685,23,closed,2025-03-28 19:44:09,/static/images/closed.png
686,7,open,2025-03-28 19:49:48,/static/images/open.png
687,11,open,2025-03-28 19:51:05,/static/images/open.png
688,12,open,2025-03-28 19:00:13,/static/images/open.png
689,1,closed,2025-03-28 19:00:23,/static/images/closed.png
690,7,open,2025-03-28 19:01:01,/static/images/open.png
691,11,open,2025-03-28 19:10:18,/static/images/open.png
692,13,open,2025-03-28 19:12:40,/static/images/open.png
693,9,closed,2025-03-28 19:13:46,/static/images/closed.png
694,2,open,2025-03-28 19:21:32,/static/images/open.png
695,7,closed,2025-03-28 19:32:17,/static/images/closed.png
696,7,closed,2025-03-28 19:40:35,/static/images/closed.png
697,7,sever_traffic_jam,2025-03-28 19:40:41,/static/images/traffic.png
698,2,closed,2025-03-28 19:42:41,/static/images/closed.png
699,25,closed,2025-03-28 19:44:09,/static/images/closed.png
700,23,closed,2025-03-28 19:44:09,/static/images/closed.png
